,alphas,vxs,Rs,paths,curve
66,0.5660000000000001,-0.06635693176406401,0.3808239948428821,pathfollow_fftg001/N128s040a05660g001/x2.npz,0
67,0.567,-0.06654307328079805,0.3806911759103036,pathfollow_fftg001/N128s040a05670g001/x2.npz,0
68,0.5680000000000001,-0.06672885223469102,0.3805591502994213,pathfollow_fftg001/N128s040a05680g001/x2.npz,0
69,0.569,-0.06691428889402697,0.38042794711189265,pathfollow_fftg001/N128s040a05690g001/x2.npz,0
70,0.5700000000000001,-0.06709940431477114,0.38029759722192374,pathfollow_fftg001/N128s040a05700g001/x2.npz,0
71,0.571,-0.0672842190107858,0.3801681323271197,pathfollow_fftg001/N128s040a05710g001/x2.npz,0
72,0.5720000000000001,-0.06746875159330179,0.38003958375330965,pathfollow_fftg001/N128s040a05720g001/x2.npz,0
73,0.573,-0.06765301749886873,0.3799119811018646,pathfollow_fftg001/N128s040a05730g001/x2.npz,0
74,0.574,-0.0678370279307133,0.3797853508695653,pathfollow_fftg001/N128s040a05740g001/x2.npz,0
75,0.575,-0.0680207891219069,0.379659715200105,pathfollow_fftg001/N128s040a05750g001/x2.npz,0
76,0.576,-0.06820430199411569,0.3795350909275204,pathfollow_fftg001/N128s040a05760g001/x2.npz,0
77,0.577,-0.06838756223488546,0.3794114890381393,pathfollow_fftg001/N128s040a05770g001/x2.npz,0
78,0.578,-0.06857056076636865,0.3792889146232721,pathfollow_fftg001/N128s040a05780g001/x2.npz,0
79,0.579,-0.06875328453508102,0.3791673673261804,pathfollow_fftg001/N128s040a05790g001/x2.npz,0
80,0.58,-0.0689357175261124,0.37904684222381096,pathfollow_fftg001/N128s040a05800g001/x2.npz,0
81,0.581,-0.06911784189806859,0.3789273310387749,pathfollow_fftg001/N128s040a05810g001/x2.npz,0
82,0.582,-0.06929963914374047,0.378808823556024,pathfollow_fftg001/N128s040a05820g001/x2.npz,0
83,0.583,-0.06948109120025539,0.37869130911911747,pathfollow_fftg001/N128s040a05830g001/x2.npz,0
84,0.584,-0.0696621814557033,0.37857477810037254,pathfollow_fftg001/N128s040a05840g001/x2.npz,0
85,0.585,-0.06984289561945753,0.37845922326381015,pathfollow_fftg001/N128s040a05850g001/x2.npz,0
86,0.586,-0.0700232224397936,0.37834464096735376,pathfollow_fftg001/N128s040a05860g001/x2.npz,0
87,0.587,-0.07020315426149919,0.3782310321712777,pathfollow_fftg001/N128s040a05870g001/x2.npz,0
88,0.588,-0.07038268742009915,0.3781184032336623,pathfollow_fftg001/N128s040a05880g001/x2.npz,0
89,0.589,-0.07056182246843323,0.37800676647790776,pathfollow_fftg001/N128s040a05890g001/x2.npz,0
90,0.59,-0.07074056422931731,0.37789614051718917,pathfollow_fftg001/N128s040a05900g001/x2.npz,0
91,0.591,-0.07091892166433342,0.37778655031261577,pathfollow_fftg001/N128s040a05910g001/x2.npz,0
92,0.592,-0.07109690754987265,0.3776780269385799,pathfollow_fftg001/N128s040a05920g001/x2.npz,0
93,0.593,-0.07127453795467464,0.37757060702758033,pathfollow_fftg001/N128s040a05930g001/x2.npz,0
94,0.594,-0.07145183152268243,0.3774643318707703,pathfollow_fftg001/N128s040a05940g001/x2.npz,0
95,0.595,-0.07162880858010592,0.37735924617387295,pathfollow_fftg001/N128s040a05950g001/x2.npz,0
96,0.596,-0.07180549010419965,0.3772553964949144,pathfollow_fftg001/N128s040a05960g001/x2.npz,0
97,0.597,-0.07198189661177404,0.37715282943228207,pathfollow_fftg001/N128s040a05970g001/x2.npz,0
98,0.598,-0.07215804704305942,0.3770515896749409,pathfollow_fftg001/N128s040a05980g001/x2.npz,0
99,0.599,-0.07233395772696213,0.3769517180644281,pathfollow_fftg001/N128s040a05990g001/x2.npz,0
100,0.6,-0.0725096415136002,0.37685324984075436,pathfollow_fftg001/N128s040a06000g001/x2.npz,0
101,0.601,-0.07268510714730395,0.37675621324270836,pathfollow_fftg001/N128s040a06010g001/x2.npz,0
102,0.602,-0.07286035892944885,0.3766606286050376,pathfollow_fftg001/N128s040a06020g001/x2.npz,0
103,0.603,-0.07303539669007253,0.3765665080439733,pathfollow_fftg001/N128s040a06030g001/x2.npz,0
104,0.604,-0.0732102160544457,0.3764738557581152,pathfollow_fftg001/N128s040a06040g001/x2.npz,0
105,0.605,-0.07338480896339303,0.376382668904419,pathfollow_fftg001/N128s040a06050g001/x2.npz,0
106,0.606,-0.07355916438673632,0.37629293895583715,pathfollow_fftg001/N128s040a06060g001/x2.npz,0
107,0.607,-0.07373326916057542,0.37620465340947545,pathfollow_fftg001/N128s040a06070g001/x2.npz,0
108,0.608,-0.07390710888016642,0.37611779770052584,pathfollow_fftg001/N128s040a06080g001/x2.npz,0
109,0.609,-0.07408066878888582,0.37603235718320593,pathfollow_fftg001/N128s040a06090g001/x2.npz,0
110,0.61,-0.07425393461559063,0.3759483190567528,pathfollow_fftg001/N128s040a06100g001/x2.npz,0
111,0.611,-0.07442689332759365,0.3758656741444757,pathfollow_fftg001/N128s040a06110g001/x2.npz,0
112,0.612,-0.07459953377698396,0.37578441845865274,pathfollow_fftg001/N128s040a06120g001/x2.npz,0
113,0.613,-0.0747718472288421,0.3757045545077655,pathfollow_fftg001/N128s040a06130g001/x2.npz,0
114,0.614,-0.07494382776543178,0.37562609232092464,pathfollow_fftg001/N128s040a06140g001/x2.npz,0
115,0.615,-0.07511547256367478,0.37554905017360696,pathfollow_fftg001/N128s040a06150g001/x2.npz,0
116,0.616,-0.07528678204530785,0.3754734550050601,pathfollow_fftg001/N128s040a06160g001/x2.npz,0
117,0.617,-0.07545775989802005,0.37539934251627016,pathfollow_fftg001/N128s040a06170g001/x2.npz,0
118,0.618,-0.07562841296657417,0.3753267569381297,pathfollow_fftg001/N128s040a06180g001/x2.npz,0
119,0.619,-0.07579875101325367,0.3752557504588176,pathfollow_fftg001/N128s040a06190g001/x2.npz,0
120,0.62,-0.075968786348929,0.3751863823025392,pathfollow_fftg001/N128s040a06200g001/x2.npz,0
121,0.621,-0.07613853334053729,0.3751187174617358,pathfollow_fftg001/N128s040a06210g001/x2.npz,0
122,0.622,-0.07630800780720545,0.3750528251009938,pathfollow_fftg001/N128s040a06220g001/x2.npz,0
123,0.623,-0.07647722632459789,0.37498877667243224,pathfollow_fftg001/N128s040a06230g001/x2.npz,0
124,0.624,-0.07664620546744329,0.3749266438128336,pathfollow_fftg001/N128s040a06240g001/x2.npz,0
125,0.625,-0.07681496102776382,0.3748664961205699,pathfollow_fftg001/N128s040a06250g001/x2.npz,0
126,0.626,-0.07698350725393513,0.3748083989391062,pathfollow_fftg001/N128s040a06260g001/x2.npz,0
127,0.627,-0.07715185615837347,0.374752411290983,pathfollow_fftg001/N128s040a06270g001/x2.npz,0
128,0.628,-0.07732001694041221,0.374698584112272,pathfollow_fftg001/N128s040a06280g001/x2.npz,0
129,0.629,-0.07748799556357994,0.3746469589228038,pathfollow_fftg001/N128s040a06290g001/x2.npz,0
130,0.63,-0.0776557945154154,0.37459756704400854,pathfollow_fftg001/N128s040a06300g001/x2.npz,0
131,0.631,-0.0778234127619482,0.37455042942205535,pathfollow_fftg001/N128s040a06310g001/x2.npz,0
