,alphas,vxs,Rs,paths,curve
15,0.6721972268318407,-0.06610182124064932,0.5144190898129636,pathfollow_fftg001/N128s035a06727g001v16/x2.npz,9
16,0.6722605682485292,-0.06630182124064933,0.5147932096221892,pathfollow_fftg001/N128s035a06727g001v17/x2.npz,9
17,0.6723315663308174,-0.06650182124064934,0.5151577495955654,pathfollow_fftg001/N128s035a06727g001v18/x2.npz,9
18,0.6724097563566765,-0.06670182124064934,0.5155130502470495,pathfollow_fftg001/N128s035a06727g001v19/x2.npz,9
19,0.6724947667952824,-0.06690182124064935,0.5158594006603944,pathfollow_fftg001/N128s035a06727g001v20/x2.npz,9
20,0.6725863159525881,-0.06710182124064935,0.5161970391114291,pathfollow_fftg001/N128s035a06727g001v21/x2.npz,9
21,0.6726842052021917,-0.06730182124064936,0.5165261557743959,pathfollow_fftg001/N128s035a06727g001v22/x2.npz,9
22,0.6727883097806783,-0.06750182124064937,0.5168468969888045,pathfollow_fftg001/N128s035a06727g001v23/x2.npz,9
23,0.6728985680598881,-0.06770182124064937,0.5171593705856695,pathfollow_fftg001/N128s035a06727g001v24/x2.npz,9
24,0.6730149701217393,-0.06790182124064938,0.5174636518083425,pathfollow_fftg001/N128s035a06727g001v25/x2.npz,9
25,0.6731375463273599,-0.06810182124064938,0.5177597894332768,pathfollow_fftg001/N128s035a06727g001v26/x2.npz,9
26,0.6732663564587553,-0.06830182124064939,0.5180478117403188,pathfollow_fftg001/N128s035a06727g001v27/x2.npz,9
27,0.6734014798377798,-0.0685018212406494,0.5183277320866981,pathfollow_fftg001/N128s035a06727g001v28/x2.npz,9
28,0.6735430067089556,-0.0687018212406494,0.5185995538910385,pathfollow_fftg001/N128s035a06727g001v29/x2.npz,9
29,0.6736910310265681,-0.0689018212406494,0.5188632749169649,pathfollow_fftg001/N128s035a06727g001v30/x2.npz,9
30,0.6738456446790694,-0.06910182124064941,0.5191188908070733,pathfollow_fftg001/N128s035a06727g001v31/x2.npz,9
31,0.6740069330929316,-0.06930182124064942,0.5193663978695363,pathfollow_fftg001/N128s035a06727g001v32/x2.npz,9
32,0.6741749720953297,-0.06950182124064942,0.5196057951597367,pathfollow_fftg001/N128s035a06727g001v33/x2.npz,9
33,0.6743498258660854,-0.06970182124064943,0.5198370859298472,pathfollow_fftg001/N128s035a06727g001v34/x2.npz,9
34,0.6745315458049931,-0.06990182124064943,0.5200602785293011,pathfollow_fftg001/N128s035a06727g001v35/x2.npz,9
35,0.6747201701147789,-0.07010182124064944,0.5202753868548162,pathfollow_fftg001/N128s035a06727g001v36/x2.npz,9
36,0.6749157239284062,-0.07030182124064945,0.5204824304401964,pathfollow_fftg001/N128s035a06727g001v37/x2.npz,9
37,0.675118219813931,-0.07050182124064945,0.5206814342759021,pathfollow_fftg001/N128s035a06727g001v38/x2.npz,9
38,0.6753276585181283,-0.07070182124064946,0.5208724284354804,pathfollow_fftg001/N128s035a06727g001v39/x2.npz,9
39,0.6755440298298565,-0.07090182124064946,0.5210554475778733,pathfollow_fftg001/N128s035a06727g001v40/x2.npz,9
40,0.6757673134699503,-0.07110182124064947,0.5212305303806353,pathfollow_fftg001/N128s035a06727g001v41/x2.npz,9
41,0.6759974799344348,-0.07130182124064947,0.521397718949166,pathfollow_fftg001/N128s035a06727g001v42/x2.npz,9
42,0.6762344912373601,-0.07150182124064948,0.5215570582362176,pathfollow_fftg001/N128s035a06727g001v43/x2.npz,9
43,0.676478301515549,-0.07170182124064949,0.5217085954968066,pathfollow_fftg001/N128s035a06727g001v44/x2.npz,9
44,0.6767288574706504,-0.07190182124064949,0.521852379795846,pathfollow_fftg001/N128s035a06727g001v45/x2.npz,9
45,0.676986098634543,-0.0721018212406495,0.5219884615799044,pathfollow_fftg001/N128s035a06727g001v46/x2.npz,9
46,0.6772499574497785,-0.0723018212406495,0.5221168923186387,pathfollow_fftg001/N128s035a06727g001v47/x2.npz,9
47,0.6775203591675664,-0.07250182124064951,0.5222377242187625,pathfollow_fftg001/N128s035a06727g001v48/x2.npz,9
48,0.6777972215623299,-0.07270182124064951,0.5223510100100075,pathfollow_fftg001/N128s035a06727g001v49/x2.npz,9
